chapter,figure_file,maple_script,script_path,confidence,match_method
cont2d,cont2d_pitchfork_stab,cont2d_pitchfork.mw,Figs_cont2d/creators/cont2d_pitchfork.mw,high,content(multi:cont2d_pitchfork.mw;cont2d_pitchfork.mws;cont2d_pitchfork2.mws;cont2d_pitchfork3.mws;cont2d_pitchfork4.mws;cont2d_pitchfork5.mws;cont2d_pitchfork6.mws)
cont2d,cont2d_Hopf_time1,cont2d_Hopf.mws,Figs_cont2d/creators/cont2d_Hopf.mws,high,content(multi:cont2d_Hopf.mws;cont2d_Hopf2.mws;cont2d_Hopf3.mws)
cont2d,cont2d_Hopf_phase1,cont2d_Hopf.mws,Figs_cont2d/creators/cont2d_Hopf.mws,high,content(multi:cont2d_Hopf.mws;cont2d_Hopf2.mws;cont2d_Hopf3.mws;cont2d_global.mws;cont2d_global2.mws;cont2d_global3.mws)
cont2d,cont2d_Hopf_time2,cont2d_Hopf.mws,Figs_cont2d/creators/cont2d_Hopf.mws,high,content(multi:cont2d_Hopf.mws;cont2d_Hopf2.mws;cont2d_Hopf3.mws)
cont2d,cont2d_Hopf_phase2,cont2d_Hopf.mws,Figs_cont2d/creators/cont2d_Hopf.mws,high,content(multi:cont2d_Hopf.mws;cont2d_Hopf2.mws;cont2d_Hopf3.mws)
cont2d,cont2d_Hopf_ev1,cont2d_Hopf2.mws,Figs_cont2d/creators/cont2d_Hopf2.mws,high,content(multi:cont2d_Hopf2.mws;cont2d_Hopf3.mws)
cont2d,cont2d_Hopf_ev2,cont2d_Hopf2.mws,Figs_cont2d/creators/cont2d_Hopf2.mws,high,content(multi:cont2d_Hopf2.mws;cont2d_Hopf3.mws)
cont2d,cont2d_global_phase1,cont2d_global.mws,Figs_cont2d/creators/cont2d_global.mws,high,content(multi:cont2d_global.mws;cont2d_global2.mws;cont2d_global3.mws)
cont2d,cont2d_global_phase2,cont2d_global.mws,Figs_cont2d/creators/cont2d_global.mws,high,content(multi:cont2d_global.mws;cont2d_global2.mws;cont2d_global3.mws)
cont2d,cont2d_global_r,cont2d_global.mws,Figs_cont2d/creators/cont2d_global.mws,high,content(multi:cont2d_global.mws;cont2d_global2.mws;cont2d_global3.mws)
cont2d,cont2d_global_fixed,cont2d_global2.mws,Figs_cont2d/creators/cont2d_global2.mws,high,content(multi:cont2d_global2.mws;cont2d_global3.mws)
cont2d,cont2d_LV_Allee_stab_Re,cont2d_LV_Allee2.mws,Figs_cont2d/creators/cont2d_LV_Allee2.mws,high,content(multi:cont2d_LV_Allee2.mws;cont2d_LV_Allee3.mws;cont2d_LV_Allee4.mws;cont2d_LV_Allee5.mws;cont2d_LV_Allee6.mws;cont2d_LV_Allee7.mws)
cont2d,cont2d_LV_Allee_stab_Im,cont2d_LV_Allee2.mws,Figs_cont2d/creators/cont2d_LV_Allee2.mws,high,content(multi:cont2d_LV_Allee2.mws;cont2d_LV_Allee3.mws;cont2d_LV_Allee4.mws;cont2d_LV_Allee5.mws;cont2d_LV_Allee6.mws;cont2d_LV_Allee7.mws)
cont2d,cont2d_LV_Allee_extinct1,cont2d_LV_Allee5.mws,Figs_cont2d/creators/cont2d_LV_Allee5.mws,high,content(multi:cont2d_LV_Allee5.mws;cont2d_LV_Allee6.mws;cont2d_LV_Allee7.mws)
cont2d,cont2d_LV_Allee_extinct2,cont2d_LV_Allee5.mws,Figs_cont2d/creators/cont2d_LV_Allee5.mws,high,content(multi:cont2d_LV_Allee5.mws;cont2d_LV_Allee6.mws;cont2d_LV_Allee7.mws)
cont3d,cont3d_lorenz_time,cont3d_lorenz.mw,Figs_cont3d/creators/cont3d_lorenz.mw,high,content(multi:cont3d_lorenz.mw;new.mw)
cont3d,cont3d_lorenz_attractor,cont3d_lorenz.mw,Figs_cont3d/creators/cont3d_lorenz.mw,high,content
cont3d,cont3d_lorenz_attraction,cont3d_lorenz.mw,Figs_cont3d/creators/cont3d_lorenz.mw,medium,prefix
cont3d,cont3d_lorenz_lyapunov,cont3d_lorenz.mw,Figs_cont3d/creators/cont3d_lorenz.mw,high,content(multi:cont3d_lorenz.mw;new.mw)
cont3d,cont3d_LorenzLyapEffective,cont3d_lorenz.mw,Figs_cont3d/creators/cont3d_lorenz.mw,medium,convention
cont3d,cont3d_lyap_formal,cont3d_lorenz.mw,Figs_cont3d/creators/cont3d_lorenz.mw,medium,output-prefix
cont3d,cont3d_LorenzLyapComprehensive,cont3d_lorenz.mw,Figs_cont3d/creators/cont3d_lorenz.mw,medium,convention
cont3d,cont3d_LorenzLyapCumulative,cont3d_lorenz.mw,Figs_cont3d/creators/cont3d_lorenz.mw,medium,convention
cont3d,cont3d_lorenzlyapattractor,cont3d_lorenz.mw,Figs_cont3d/creators/cont3d_lorenz.mw,medium,output-prefix
cont3d,cont3d_lorenz_attractoryz,cont3d_lorenz.mw,Figs_cont3d/creators/cont3d_lorenz.mw,high,content(multi:cont3d_lorenz.mw;new.mw)
cont3d,cont3d_lorenz_zmax,cont3d_lorenz.mw,Figs_cont3d/creators/cont3d_lorenz.mw,high,content(multi:cont3d_lorenz.mw;new.mw)
cont3d,cont3d_lorenz_map,cont3d_lorenz.mw,Figs_cont3d/creators/cont3d_lorenz.mw,high,content(multi:cont3d_lorenz.mw;new.mw)
cont3d,cont3d_poincaresection,cont3d_poincare_example.mw,Figs_cont3d/creators/cont3d_poincare_example.mw,high,content
cont3d,cont3d_poincare_exphase,cont3d_poincare_example.mw,Figs_cont3d/creators/cont3d_poincare_example.mw,high,content
cont3d,cont3d_poincare_exmap,cont3d_poincare_example.mw,Figs_cont3d/creators/cont3d_poincare_example.mw,high,content
cont3d,cont3d_poincare_exseq,cont3d_poincare_example.mw,Figs_cont3d/creators/cont3d_poincare_example.mw,high,content
cont3d,cont3d_lorenz_poincare,cont3d_lorenz.mw,Figs_cont3d/creators/cont3d_lorenz.mw,high,content
cont3d,cont3d_rosslerattractor,cont3d_rossler.mw,Figs_cont3d/creators/cont3d_rossler.mw,high,content
cont3d,cont3d_rosslertopology,cont3d_rossler.mw,Figs_cont3d/creators/cont3d_rossler.mw,high,content
cont3d,cont3d_rosslerperiod1a,cont3d_rossler.mw,Figs_cont3d/creators/cont3d_rossler.mw,high,content
cont3d,cont3d_rosslerperiod1b,cont3d_rossler.mw,Figs_cont3d/creators/cont3d_rossler.mw,high,content
cont3d,cont3d_rosslerperiod2a,cont3d_rossler.mw,Figs_cont3d/creators/cont3d_rossler.mw,high,content
cont3d,cont3d_rosslerperiod2b,cont3d_rossler.mw,Figs_cont3d/creators/cont3d_rossler.mw,high,content
cont3d,cont3d_rosslerperiod3a,cont3d_rossler.mw,Figs_cont3d/creators/cont3d_rossler.mw,high,content
cont3d,cont3d_rosslerperiod3b,cont3d_rossler.mw,Figs_cont3d/creators/cont3d_rossler.mw,high,content
cont3d,cont3d_rosslerperiod4a,cont3d_rossler.mw,Figs_cont3d/creators/cont3d_rossler.mw,high,content
cont3d,cont3d_rosslerperiod4b,cont3d_rossler.mw,Figs_cont3d/creators/cont3d_rossler.mw,high,content
